commpany_Name,experience_length,experience_level,job_tittle,minimum_qualification,pay,requirements,responsibilities,sector
GKT Consults Limited,5 years,Senior level,Executive Driver,Diploma,"75,000 - 150,000","Valid driver’s license & LASDRI.,Clean driving record.,Sound knowledge of road safety regulations.,Working knowledge of local roads and routes.,The ability to utilize maps, GPS systems, and car manuals.,Effective communication skills.,Punctual and reliable.","Safely transporting persons or products
and materials to and from specified locations in a timely manner.,Assisting with the loading and
offloading of luggage, products, and materials.,Adjusting travel routes to
avoid traffic congestion or road construction.,Regular cleaning of company
vehicle,Promptly carrying out logistics
assignment of movement of people and good,Ensuring that the company
vehicle is always parked in areas that permit parking in order to avoid towing.,A good knowledge of traffic
regulation and ensure full compliance always,Keeping the company vehicle
clean and properly maintained by performing regular washing, cleaning and
vehicle maintenance.,Reporting any accidents,
injuries, and vehicle damage to management.,Ensure timely renewal of all
vehicle papers and permit.,Ensure prompt service and
maintenance of the vehicle to improve efficiency and avoid waste.",Driver & Transport Services
Blue Square,3 years,Mid level,Real Estate Sales Manager,Degree,"400,000 - 600,000","Minimum academic qualification of Bachelor's degree in any discipline,3 years of working experience,Good negotiation skills","Sales of Properties of the company.,Identify prospective customers by using business
directories, following leads from existing clients, and closing out on deals.,Designing and implementing a
strategic sales plan that expands company’s customer base and ensure its strong
presence.,Advising the prospective client on what needs to be
done before the listing and showings start.,Responsible for accepting, listing
properties and businesses for sale and lease.,While conducting inspections,
advising buyers on merits of properties, businesses, and the terms of sale.,Achieving growth and hitting sales
targets by successfully working with the sales team.,Making the homeowner complete the necessary paperwork,
including agency agreements, listing disclosures, and legal documents.,Involves conducting property
inspections and assessments and facilitating real estate transactions through
to settlement using appropriate methods of sales,Other duties as assigned by your supervisor. ",Sales
Ibile Mart Limited,1 year,Entry level,Marketing and Sales Executive,OND,"Less than 75,000","Minimum of 1 - 3 years of experience in managing sales in a corporate setting,Proven record of success with the entire sales process, from planning to closing,Excellent communication, interpersonal, and organizational skills,Good leadership ability,Motivational speaking experience,Proven success rate at levels above sales quota,Dynamic and enthusiastic person with good written and verbal communication skills,Persuasion and Influencing skills, strong negotiating skills,Good work organization, time management skills and ability to work under pressure,Ability to work quickly, methodically and accurately,Sound interpersonal skills,Maximum Age limit of 35 years","Create and execute a strategic sales plan that expands our customer base and extends the company's local and global reach,Meet with potential clients and grow long-lasting relationships that address their needs ,Identify knowledge gaps within the team and develop plans for filling them,Ensure that company quotas are met by holding daily check-ins with the sales team to set objectives and monitor progress,Represent the company effectively with comprehensive knowledge of our offerings,Research consumer needs and identify how our solutions address them,Achieve company objectives by planning thoroughly, setting sales goals, analyzing performance data, and making forecasts",Marketing & Communications
AP3 Capital and Advisory Services,5 years,Senior level,PPP Research Analyst,Degree,"150,000 - 250,000","The ability to work effectively with diverse stakeholder groups,Excellent organizational, analytical, and problem-solving skills, and attention to detail, the ability to work independently, and in a fast-paced environment with flexibility to perform other functions as directed.,Experience of carrying out analysis of economic trends, statistical information, panel surveys and other data, as well as knowledge of common Africa data sets.,Highly numerate, with exceptional oral and writing communication skills, with demonstrable quantitative and qualitative data analysis skills, and be proficiency in the use of Microsoft Excel, Word, Powerpoint, and internet tools.,Proven ability to think and present information in a structured and logical manner,Excellent people/team skills, ability to manage small scale projects, and work collaboratively as part of a project team and manage external relationships,Financial modelling skills in excel is an advantage.,Demonstrated ability to work effectively independently and constructively with diverse, inter-cultural, and high impact teams in different locations.","Developing detailed workplans and timelines for the delivery of assignments,Supporting efforts to build consensus around the development of accelerated project delivery framework, including stakeholder mapping and management to anticipate and address issues (and where necessary escalate such issues).,Producing inception reports with detailed understanding of scope, workplan – interdependencies, risks and timelines for completion of the project assignments (incl. proposed schedule of consultations with government stakeholders and lenders),Supporting the PPP Transactions Team in preparing questionnaires to obtain relevant data from MDAs/Sub-nationals as required to produce relevant reports and structure transaction and project development support.,Following up on data requests to MDAs/Sub-nationals.,Undertaking primary and secondary research for project delivery.,Contributing as required to the preparation of tender documents, coordination of the bid evaluation processes, and in particular, capturing lessons learned and ensuring the effectiveness of clients’ capacity building processes and approach.,Supporting the PPP Project Transactions Team in drafting and preparing progress reports.,Supporting the PPP/Infrastructure Finance team with any additional work required.",Consulting & Strategy
Ken Ahia & Associates,5 years,Senior level,Litigation Lawyer,Degree,"250,000 - 400,000","The Candidate must have experience and flair for litigation. ,Previous experience in a well-structured litigation law firm will be a definite advantage. ,Candidate must have the ability to draft pleadings and briefs.","To work as an associate in a law firm.,Drafts legal submissions.,Follows up on implementation to ensure strategic impact through advocacy, capacity-building and follow up litigation as appropriate.,Monitors and records strategic and other impacts of litigation.,Drafts info-bulletins, press releases, legal articles and other communications for public dissemination.",Legal Services
Teasy International Company Ltd,5 years,Senior level,Senior Android POS Developer,Degree,"250,000 - 400,000","Minimum academic qualification of a Bachelor/HND Degree in Computer
Science, Engineering, Computer Engineering.,3 – 5 years of industry experience.,Strong knowledge of Android SDK,
different versions of Android, and how to deal with different screen sizes,Familiarity with RESTful APIs to
connect Android applications to back-end services,Strong knowledge of Android UI design
principles, patterns, and best practices,Experience with offline storage,
threading, and performance tuning,Ability to design applications around
natural user interfaces, such as “touch”,Familiarity with the use of additional
sensors, such as gyroscopes and accelerometers.,Knowledge of the open-source Android
ecosystem and the libraries available for common tasks.,Ability to understand business
requirements and translate them into technical requirements.,Familiarity with cloud message APIs and
push notifications.,A knack for benchmarking and
optimization.,Understanding of Google’s Android
design principles and interface guidelines.,Proficient understanding of code
versioning tools, such as Git.,Familiarity with continuous
integration.","Translate technical requirement
specifications into high quality code,Design, build, and maintain high
performance, reusable, and reliable Java code,Ensure the best possible performance,
quality, and responsiveness of the application,Identify and correct bottlenecks and
fix bugs,Help maintain code quality,
organization, and automatization,Keep up to date on the best
technological innovations in the field and be ready to apply relevant
innovations to our software systems.,Develop software solutions by studying
information needs; conferring with users;,Collaborate with team to brainstorm and
create products,Make informed decisions quickly and
taking ownership of services and applications at scale,Work collaboratively with others to
achieve organizational goals",Software & Data
Limitless Media,2 years,Mid level,Flutter Developer,High School (S.S.C.E),"250,000 - 400,000",,"Your primary role will be to collaborate with our designer to build innovative meditation app using Flutter.,You will be involved in the full app lifecycle from planning through launching new features.,2 - 3 years of professional experience with Flutter,Experience publishing Flutter apps to the iOS App Store & Google Play Store,Proficiency with Dart programming and Flutter SDK,Strong understanding of reactive and asynchronous programming,Ability to implement clean, modern UI designs provided by designers,Comfortable working with REST APIs and integrating third-party libraries,Solid grasp of core CS concepts like data structures and algorithms,Knowledge of software design patterns and architecture,Ability to troubleshoot issues and optimize performance,Experience with Git version control system,Capability to take ownership of features from design through completion,Practical communication skills, with the ability to articulate technical concepts to non-technical team members",Software & Data
yinbid agency service ltd,No Experience/Less than 1 year,No Experience,Sales Officer(POS and Phone Accessories),OND,"Less than 75,000","Minimum academic qualification of  OND, NCE, HND degree in any discipline,Good communication skills","Relate with customers who wants needs financial services such as cash deposits, cash withdrawals, transfers etc,Accept deposit from customers,Allows withdrawals via POS terminals,Sell Phone accessories,Ensure the account is balanced on daily basis",Sales
UNIC SUITES & HOTEL LTD,2 years,Entry level,Night Duty Manager,HND,"Less than 75,000","Minimum academic qualification of HND in any discipline,2 years of working experience,Organizational skills","Manages all front office operations during the evening and overnight shift. Focus is on Front Office Operations, Night Audit and Safety/Security but also responsible for overseeing Team Members in other areas of the hotel.,Provides guidance and leadership to Front Office Team Members. Assists with selection, training, scheduling, supervising, developing, disciplining and counseling Team Members according to property policies and procedures.,Ensures Front Office Agents consistently review expected arrivals in advance, checks guests in/out of property according to procedures, ensures accurate guest billing, and makes reservations outside of hours if needed. ,Ensures Front Office Agents are adhering to all established accounting and cashiering practices including processing package adjustments, transfers, write-offs and disputes.,Ensures special requests are carried out accordingly.,Ensures overall organization and operation of the Night Audit Operations. ,Ensures day's revenue balances are reconciled, payments to the guest ledger are processed, and the accounts receivables are balanced. ,Ensures the Night Audit balances and verifies the summary of dialing transactions in the hotel., Determines guest relocation for nights when overcapacity and ensures a smooth relocation process.,Takes emergency calls and ensures operational support areas are covered to provide excellent customer service. ,Assumes a key lead role during emergency response needs according to hotel's emergency procedures.,Monitors and develops team member performance to include, but not limited to, providing supervision, scheduling, conducting counseling and evaluations and delivering recognition and reward.,Monitors and assesses service and satisfaction trends, evaluates and addresses issues and makes improvements accordingly.",Hospitality & Leisure
UNIC SUITES & HOTEL LTD,2 years,Entry level,Housekeeping Supervisor,HND,"Less than 75,000","Minimum academic qualification of HND in any discipline,2 years of working experience,organization skills","Oversee staff on a daily basis
,Check rooms and common areas, including stairways and lounge areas, for cleanliness
,Schedule shifts and arrange for replacements in cases of absence
,Establish and educate staff on cleanliness, tidiness and hygiene standards
,Motivate team members and resolve any issues that occur on the job
,Respond to customer complaints and special requests,Training housekeepers on cleaning and maintenance tasks.",Hospitality & Leisure
Finicky Clean Limited,3 years,Mid level,Accountant,Degree,"150,000 - 250,000","Minimum academic qualification of a Bachelor's degree in accounting or a related field,3 years of working experience,An accountant must be scrupulous, accountable and a problem solver.,Must be able to give-practical advice, communicate effectively and possess strong management skills.,Possess strong working ethics and pay close attention to details.,Must have a good sense of control, must be accurate and possess excellent analytical skills","Responsible for reducing cost and enhancing revenue.,Monitor and manage expenses within allotted budget.,Establish, maintain and coordinate the implementations of accounting control procedures and measures, ensuring that all accounting procedures E.g. request for funds are strictly adhered to and payment tracked.,Establish the charts of accounts with entries that would enable generating the required management report to advise the management monthly.,Compute taxes and prepare tax returns in accordance with the state and federal statutory obligations. File tax returns as at when due.,Interact with internal and external auditors on audit and tax matters.,Post daily on peach-tree accounting software, establish a functional manual filling system ensuring that all accounting documents and procedures are documented and filled.,Responsible for costing and reviewing of our services for new and existing clients.,Constantly track and analyze revenue and expenditure trends and recommend appropriate budget levels for each and ensure expenditure is controlled.,Track and monitor payments to ensure payments are made timely and appropriately, and evidence of payments recorded and documented.","Accounting, Auditing & Finance"
Finicky Clean Limited,3 years,Mid level,HR/Admin Assistant,Degree,"75,000 - 150,000","Possess excellent communication skills,Must have organizational abilities,Must have an eye for details,Possess problem solving abilities,Must be skilled in relationship building and creating strong connections","Office purchase and repairs: Responsible for office purchases and repairs,Responsible for the office store: Responsible for restocking and balancing the company’s store at the month’s end.,Assist the HR/Admin manager: Assist the HR manager in all the duties e.g recruitment, preparing leave roosters, trainings etc.,Updating, documentation and filing: Ensure all documents including staff files, source documents are updated, documented and filed accordingly for easy access.,Expert in digital IT skills relevant to your job responsibilities.,Renew licenses, car papers as and when due,Write and submit weekly, monthly report and prepare for MPR,Office supplies: Check for office utilities ensuring availability and adequate supply",Admin & Office
DLHO Solutions,3 years,Mid level,Social Media Marketing Expert,Degree,"150,000 - 250,000","At least 2 years of experience in social media
management.,Demonstrated skill in managing various social
media platforms.","Minimum of 1 year of experience working on B2B
campaigns.,Proven ability to develop and execute campaigns
that resonate with a business audience.",Marketing & Communications
Thrive Woman Africa,No Experience/Less than 1 year,Internship & Graduate,Social Media Management Intern,Degree,"Less than 75,000","NYSC Corper looking to serve,Good communication skills,Social media savvy,Have good knowledge of Instagram, Facebook and other platforms ,Ready to learn and grow,Can work effectively with little supervision","Good with content writing and hashtags research ,Good with page engagement,Good with MS Word,Create good designs,Edit pictures and videos ,Researching and curating content. ",Marketing & Communications
Finicky Clean Limited,3 years,Mid level,Service Operations Manager,HND,"75,000 - 150,000","Minimum academic qualification of HND/BSc degree in any discipline,3 years of working experience,The SOM must be able to perform his job in a professional manner and exhibit the qualities of a leader.,Must possess excellent management skills.,Must be multi tasked, possess the ability to work under pressure.,Must be expedient, possessing the ability to make instant quality decisions","Cleaning operations: Responsible for the cleaning and maintenance operations in the organization.,Ensure excellent service delivery: Constantly develop ways and strategy to ensure an excellent service delivery in all locations.,Supervision of all the BOC’s ROC’s, Team Leads, Cleaners: Supervise all the levels of authority in the department ensuring they all deliver in their deliverables. Constantly devise a means of keeping abreast of all their different levels of responsibilities.,Manage costs: Manage costs of production and delivery as well as expense accrued in the department. Ensure not to exceed budget.,Business growth: Identify and harness opportunities in and out of our locations.,Training: Ensure all cleaners are constantly trained. Organize training of all the different levels of authority within the department ensuring all are updated in line with our industry demands.",Quality Control & Assurance
Finicky Clean Limited,3 years,Mid level,Business Operations Cordinator,Degree,"75,000 - 150,000","Having worked in a cleaning company or facility management or logistics company would be an added advantage,Excellent written and verbal communication skills.,Excellent organizational abilities,Must have an eye for details.,Must possess the ability to multitask,Must possess the ability to resolve problematic situations quickly,Possess managerial and leadership skills.,Expert with digital IT skills relevant to your job responsibilities","Inspection of the various
locations: Responsible for the inspection of a cluster of locations to ensure
an excellent service delivery.,Consumables purchase,
production and distribution: Initiate, plan and track work tools e.g consumables,
soft equipment, and ensuring delivery as and when due.,Supervision of the cleaners and
their work tools: Constantly develop and maintain ways to supervise and monitor
the cleaners as well as train them.,Manage and facilitate relationships:
Manage the relationship between the company and our clients.,Documentation: Keep records,
update files, and ensure it is saved according to the internal practices of the
organization.,Report writing: Write weekly
and monthly reports, and prepare for MPR.( Monthly performance report),Plan, supervise and execute
cleaning jobs, projects etc.",Management & Business Development
Finicky Clean Limited,3 years,Mid level,Business Development Officer,Degree,"150,000 - 250,000","Proven experience and
understanding of brand marketing, digital marketing, social media platforms and
content creation.,Excellent communication and
interpersonal skills.,Creative mindset with the
ability to think outside the box.,Proficiency in marketing
analytics and data-driven decision making. ,Ability to prepare bids.","Brand Strategy: As we are in
the cleaning and maintenance industry, we would require the candidate to
develop and execute comprehensive brand marketing strategies to further
establish and strengthen our brand. ,Engage across all the various marketing
channels to promote our services, create content that would resonate with our
target audience and more.,Develop and execute plans for
integration and expansion: Constantly looking for opportunities from existing
clients for growth and expansion.,Secure leads and turn leads to
income,Market research: Research, plan
and implement new target market initiatives.,Feedback
from our client: Create a feedback channel from our clients and constantly
reach out to them to know how we are faring.",Management & Business Development
Intelfort Nigeria Limited,1 year,Internship & Graduate,Receptionist,OND,"Less than 75,000","Minimum academic qualification of a Bachelor's degree /OND/HND from a recognized institution.,Solid knowledge of office procedures.,A minimum of a year’s work experience in the related field is required.,Computer literate.,Hands-on experience with office equipment (e.g., fax machines and printers),Multitasking and time-management skills, with the ability to prioritize tasks.,Customer service attitude,Ability to be resourceful and proactive when issues arise.,Strong organizational skills with a problem-solving attitude.,Excellent written and verbal communication skills.,Attention to detail.","Greet and welcome guests as soon as they arrive at the office.,Direct visitors to the appropriate persons and office,Answering phones in a professional manner, and routing calls as necessary. Provide basic and accurate information in-person and via phone/email.,Ensure office is tidy and presentable, with all necessary stationery and material (e.g., pens, forms, and brochures),Writing meeting minutes during meetings.,Receive, sort, and distribute daily mail/deliveries.,Maintain office security by following safety procedures and controlling access via the reception desk (monitor logbook, issue visitor badges),Assist in ordering office supplies and keeping inventory of stocks.,Keep updated records of office expenses and costs.,Perform duties such as filing, photocopying, transcribing, and faxing.,Assist in preparing meeting rooms and training rooms.,Assisting colleagues with administrative tasks.,Performing ad-hoc administrative duties.,Provide excellent customer service.,Ensure messages are passed to the appropriate staff member on a timely basis.,Manage office supplies stock and place orders.,Maintain and update company databases.,Answer requests/complaints by employees and clients.,Occasionally travel off-site to deliver/receive reports or files to/from Clients or suppliers.,Ensure the confidentiality and security of files and filing systems.,Maintain detailed reports.,Upload all documentation to the necessary storage provided by the organization.",Admin & Office
PC Recruit Nigeria,3 years,Mid level,Customer Service Officer,HND,"75,000 - 150,000","High school diploma or equivalent. Relevant experience or a degree in fashion, marketing, or a related field is a plus.,Proven experience in a customer service role, preferably within the fashion industry.,Exceptional interpersonal and communication skills, both written and verbal, with a strong command of the English language. Additional language skills are a plus.,Patience, empathy, and the ability to handle challenging customer interactions with professionalism and grace.,Strong problem-solving skills, with the ability to think quickly and come up with effective solutions.,Proficient in using customer service software and tools to track, prioritize, and manage customer inquiries.,Detail-oriented and highly organized, with the ability to multitask and prioritize effectively.,Flexibility to work in shifts, including weekends and evenings, to accommodate customer needs.,Knowledge of fashion trends, styles, and clothing sizing is preferred.,A passion for fashion and a genuine interest in providing exceptional customer experiences.","Serve as the main point of contact for customers, providing assistance, guidance, and support through various channels such as phone, email, and live chat.,Address customer inquiries, concerns, and complaints promptly and professionally, striving to provide resolutions that exceed expectations.,Maintain a thorough understanding of our products, policies, and procedures to effectively address customer queries and provide accurate information.,Process customer orders, returns, and exchanges, ensuring accuracy and efficiency in a timely manner.,Proactively identify and resolve potential issues, escalating complex problems to the appropriate teams when necessary.,Provide personalized product recommendations and styling advice to enhance the customer's shopping experience.,Build and maintain strong customer relationships, fostering loyalty and repeat business.,Collaborate closely with cross-functional teams, including sales, logistics, and marketing, to ensure a seamless customer experience.,Stay up-to-date with industry trends, fashion collections, and our brand's offerings.,Continuously seek opportunities to improve customer service processes and contribute to business growth.",Customer Service & Support
Brit Properties,2 years,Entry level,Sales Executive,OND,"75,000 - 150,000","Minimum academic qualification of OND/HND/Bachelor's degree in Business Administration, Marketing, or related field,Minimum of 2 years of proven work experience ,Sales and negotiation skills,Excellent interpersonal and communication skills,Customer service and relationship management skills,Knowledge of local property market and relevant laws and regulations,Ability to work well in a team,Real Estate License preferred but not required","Responsible for selling and leasing properties, maintaining client relationships, and providing excellent customer service.,Attend property visits, negotiate prices, and ensure legal compliance.,Conducting market research to identify selling possibilities and evaluate customer needs.,Actively seeking new sales opportunities through cold calling, networking, and social media.,Setting up meetings with potential clients and listening to their wishes and concerns",Sales
ALLIANCE HOSPITAL AND SERVICES LTD,No Experience/Less than 1 year,Entry level,Medical Officer,MBBS,"250,000 - 400,000","Respond to medical emergencies and provide immediate care.,Coordinate with emergency response teams for efficient patient management.,Stabilize and treat patients in critical conditions.","Conduct medical examinations, assessments, and diagnosis of patients.,Develop and implement treatment plans in collaboration with other healthcare professionals.,Prescribe medications and monitor patient responses.,Provide counseling and education to patients regarding their medical conditions and treatment options.",Medical & Pharmaceutical
Gakanke Consulting Limited,2 years,Mid level,Sales and Marketing Executive,MBA / MSc,"250,000 - 400,000","The position is open preferably to a Male candidate only for gender balance,Minimum academic qualification of MBA,Proven track record in sales and marketing, with a minimum of 1 year of post-MBA experience,Excellent communication and negotiation skills,Strong understanding of the marketing and advertising industry,Ability to work independently and as part of a team to achieve sales and marketing objectives,Proficiency in Microsoft Office Suite, including Word, Excel, and PowerPoint,Strong analytical and problem-solving abilities,Ability to multitask and prioritize workload effectively","Develop and implement sales strategies to achieve sales targets,Identify and develop new business opportunities through effective market research and analysis,Build and maintain strong relationships with clients to ensure maximum client satisfaction and retention,Monitor and analyze market trends and competitor activities to identify potential opportunities and threats,Prepare and deliver presentations to clients and key stakeholders to promote company products and services,Provide regular updates and reports on sales and marketing activities to the management team,Key account management",Sales
Codva Creatives,1 year,Internship & Graduate,Creative Writer Intern,OND,"Less than 75,000","Collaborate with appropriate stakeholders and subject matter experts to identify and understand desired business results for a successful learning solution.,Work with Instructional Design Specialists to design and manage scope, schedules, milestones and resources for assigned learning projects.,Familiarity with modified Agile methodology.,Highly self-directed individual with effective consultation and communication skills, and strong presentation skills.,Ability to transform concepts into appropriate storyboards, frameworks, outlines, sequences, activities and high-quality products.,Ability to create simple, compelling and visually pleasing content.,Creative use of interactive learning concepts.,Planned use of metrics and evaluation models for continual improvement.","Bachelor’s degree, HND, OND in any discipline,Experience with Microsoft Office Suite (MS Word, PPTx), Google for Work Suite,Experience is fictional writing (either professionally or as a hobby) ,Interest in educational technologies, innovative business models, and digitization of education,Outstanding interpersonal and communication skills,Excellent writing and editing skills.,Excellent speaking, facilitation and presentation skills.,Proven ability to set priorities and manage expectations, time management,Positive team player with comfort with ambiguity and a proactive approach to problem-solving,Outgoing and enthusiastic personality with a strong will to learn and take up new challenges,Detail-oriented,Good knowledge of managing social media accounts,Capable of identifying and completing tasks independently, with a sense of urgency and ownership,Demonstrated success at maintaining high personal work standards,Demonstrated ability to handle sensitive information with discretion and tact,Ability to produce and progress an agenda autonomously, without frequent direction or check-ins",Creative & Design
PC Recruit Nigeria,10 years,Senior level,Production Manager (Fashion Industry),HND,"150,000 - 250,000","Minimum academic qualification of a Bachelor's degree in fashion design, business administration, or a related field. Relevant work experience may be considered in lieu of formal education.,Proven experience as a Production Manager in the fashion industry, with a strong knowledge of garment construction, textiles, and production processes.,Exceptional organizational and time management skills with the ability to multitask and prioritize effectively.,Excellent leadership and communication skills, with the ability to collaborate and coordinate with internal and external stakeholders.,Strong problem-solving abilities, with a proactive and results-oriented mindset.,Proficiency in using production management software and tools.,Familiarity with sustainability practices in fashion production is a plus.","Manage the end-to-end production process, ensuring seamless coordination between design, development, and production teams.,Develop and maintain production schedules, ensuring on-time delivery of products while adhering to quality and cost standards.,Collaborate with designers to understand the vision for each collection and translate it into actionable production plans.,Source and negotiate with suppliers to ensure the availability of materials and resources required for production.,Conduct regular quality control checks at different stages of production, taking corrective actions when needed to maintain product excellence.,Maintain accurate production records and prepare reports on production performance, efficiency, and cost.,Manage and motivate production staff, providing guidance, training, and performance feedback.,Stay updated with the latest industry trends, production technologies, and manufacturing techniques to improve efficiency and product quality.,Implement and enforce health and safety regulations within the production facility.",Product & Project Management
Tech Champions,3 years,Mid level,Node.js Developer,Degree,"150,000 - 250,000","Minimum academic qualification of a bachelor's degree or master's degree in computer science, mathematics, or comparable experience,Knowledge of JavaScript and Node.js,Practical experience with REST, MONGODB, MySQL/PostgreSQL, WebSocket, Redis, and other technologies,Familiarity with Docker and AWS infrastructure,Understanding of data security concepts,Working knowledge of JavaScript, web stacks, libraries, and frameworks,Excellent analytical and problem-solving abilities,Outstanding interpersonal, communication, and teamwork abilities,Operate experience and a desire to work in a global environment,Exceptional problem-solving and decision-making abilities,Understanding of front-end technologies,The ability to operate as part of a team and collaborate with cross-functional teams ","Collaborate with other members of the team, such as front end developers,Create and deploy Node.js code,Make sure that updated security measures are in place to prevent unauthorized entrance ,Diagnose and correct any flaws in the code,Create enough test suites to guarantee that all functionality stated in the design is satisfied,Ensure that the server-side code is properly interfacing with databases,Make sure that the code is incredibly resilient and capable of providing excellent,performance to the end-user,Align server-side code with front-end components",Software & Data
Applestore.NG,3 years,Mid level,Digital Marketer,HND,"75,000 - 150,000","Minimum academic qualification of HND in any discipline,3 years of working experience,Analytical skills","Plan and execute all digital marketing, including SEO/SEM, marketing database, email and display advertising campaigns.,Design, build and maintain our social media presence,Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs),Identify trends and insights, and optimize speed and performance based on the insights.,Collaborate with internal teams to create landing pages and optimize user experience.,Plan, execute and measure experiments and conversion tests,Brainstorm new and creative growth strategies,Evaluate emerging technologies.,Provide thought leadership and perspective for adoption where appropriate.",Marketing & Communications
Soteria Eye Clinic,10 years,Executive level,Senior Human Resource Manager,Degree,,"Minimum academic qualification of a Bachelor's degree or master's degree in HR management, business administration, or a related field.,10 years of working experience.,Extensive experience in HR management, preferably in a senior leadership role.,In-depth knowledge of HR best practices, employment laws, and regulations.,Strong leadership, communication, and interpersonal skills.,Excellent problem-solving and decision-making abilities.,Proven experience in talent acquisition, employee engagement, and performance management.,Proficiency in HR information systems and technology.,Strong strategic thinking and planning capabilities.,Certification or membership in relevant HR professional associations","Strategic HR planning: Collaborating with senior leadership and department heads to develop and execute HR strategies that support the overall business objectives.,Talent acquisition and management: Overseeing the recruitment process, including sourcing, interviewing, and selecting candidates. Implementing effective onboarding programs to ensure a smooth integration of new hires. Developing employee recognition and retention strategies to maintain a high-performing workforce.,Performance management: Designing and implementing performance appraisal systems, providing coaching and feedback to managers and employees, and managing the performance improvement process when necessary.,Employee relations: Handling employee grievances, complaints, and disciplinary actions. Developing and implementing HR policies and procedures to promote a positive work environment and foster employee engagement.,Training and development: Identifying training needs and coordinating the design and delivery of training programs. Providing support and guidance to managers to enhance leadership and managerial capabilities within the organization.,Compensation and benefits: Overseeing the administration of compensation and benefits programs, including salary reviews, bonus schemes, and employee benefits packages. Ensuring compliance with legal requirements and monitoring market trends to attract and retain top talent.,HR analytics and reporting: Utilizing HR metrics and data analysis to drive insights and inform decision-making. Preparing regular HR reports, including workforce analysis, turnover rates, and diversity and inclusion metrics.,Legal compliance: Ensuring compliance with all local, state, and federal employment laws and regulations. Staying updated on any legislative changes that may affect HR policies and practices.,HR technology: Overseeing the implementation and maintenance of HR information systems to streamline HR processes and enhance data management and reporting capabilities.,Leadership and team development: Providing leadership, guidance, and mentoring to the HR team. Encouraging a culture of continuous learning and development within the department.",Human Resources
AFG PARTNERSHIP LTD,3 years,Mid level,Consultant Obstetrician and Gynaecologist,MBBS,"600,000 - 900,000","Excellent communication skills to manage a wide range of relationships with colleagues, and patients and their families emotional resilience,A calm temperament and the ability to work well under pressure  ,Teamwork and the capacity to lead multidisciplinary teams ,Problem-solving and diagnostic skills  ,Outstanding organizational ability and effective decision-making skills ,First-class time and resource management for the benefit of patients ,A high degree of manual dexterity ,Superb hand-eye co-ordination, excellent vision, and visuospatial awareness ,Physical stamina to cope with the demands of surgery","Provide a high standard of clinical practice and expertise in the assessment, investigation, diagnosis and treatment of patients in obstetrics & gynecology",Medical & Pharmaceutical
emma ebebiz International,3 years,Mid level,Accountant,Degree,,"Minimum academic qualification of a Bachelors Degree in a relevant field,Professional Qualification(s): Chartered / Qualified Accountant (e.g. ACA,  ACCA),Experience (Number of relevant years): 3 - 5 years relevant experience,Experience reconciling accounting figures and financial records,Ability to identify errors,Appropriate handling of sensitive information,Ability to work to deadlines,High level of attention to detail,Written and verbal communication skills,Strong client relationship management and customer service skills,Team player with the ability to work with multiple parties,Intermediate to advanced computer software skills, including Excel and Accounting packages.","Daily reconciliation of transactions and balances interfacing between finance and core operations;,General ledger reconciliations,Daily call over of transactions to ensure accuracy and completeness.,Performing daily financial transactions such as verifying, calculating and posting data,Supporting the month end process,Generating month end reports.,Creating and processing invoices,Cross-checking invoices with payments and expenses to ensure accuracy,Managing a company’s accounts payable and receivable.","Accounting, Auditing & Finance"
Balkaan Employments service,2 years,Entry level,Chef,Others,"75,000 - 150,000","Culinary school degree/diploma.,Past experience as a working chef.,Advanced knowledge of the culinary arts.,Perfectionism in sanitation and quality control.,Portfolio of creative, unique dishes.,Expert multitasking ability.,Great leadership and interpersonal skills.,Ability to run stocktaking and place orders for resupply.,Exemplary work ethic in a high-pressure environment.,Passion and pride for delighting people with food.","Ensuring that all food is of excellent quality and served in a timely manner.,Planning the menu, keeping in mind budget, and availability of seasonal ingredients.,Overseeing all kitchen operations.,Coordinating kitchen staff, and assisting them as required.,Training staff to prepare and cook all the menu items.,Taking stock of ingredients and equipment, and placing orders to replenish stock.,Enforcing safety and sanitation standards in the kitchen.,Creating new recipes to keep the menu fresh.,Keeping up to date with industry trends.,Receiving feedback and making improvements where necessary.",Food Services & Catering
Genesis Tutors,1 year,Entry level,Front Desk Officer,Degree,"75,000 - 150,000","Minimum academic qualification of an HND/BSc,Minimum of 1 year of work experience ,Must have completed the mandatory NYSC,Must be resident in Owerri or be willing to relocate at his/her own expense.","Manage phone calls, and emails and relay messages to visitors, staff, and Management.,Schedule meetings, appointments, and reservations.,Monitor and control access to office premises ,Create engaging and relevant content for social media platforms ,Utilize social media advertisements to market our organization.",Admin & Office
